지역,시설명,시설유형,시설주소,시설규모,운영기관,시설운영상태,시설종류,운영시간_평일,운영시간_주말,시설사용료,시설대관여부,시설편의시설,주차정보,연락처,홈페이지,Latitude,Longitude
용산구,갈월종합사회복지관 체육관,공공체육시설,서울특별시 용산구 두텁바위로 25,"지하 2층, 지상 6층",용산구청,휴관,생활체육관,06:00~22:00,토요일 10:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"휴게실, 빨래방",주차 가능,02-752-7887,http://www.galwol.or.kr/,37.5457838,126.9748238
강남구,강남구민체육관,공공체육시설,서울특별시 강남구 개포로28길 47,"지하 1층, 지상 3층",강남구도시관리공단,운영,생활체육관,06:00~22:00,토요일 06:00~22:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"탈의실, 휴게실, 조깅트랙",주차 가능 (63면),02-2176-0871,http://life.gangnam.go.kr/fmcs/105,37.4777038,127.052334
강남구,강남구민회관 체육교실,공공체육시설,서울특별시 강남구 삼성로 154,"지하 1층, 지상 2층",강남구도시관리공단,운영,생활체육관,08:00~21:30,토요일 09:00~19:30 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"탈의실, 전시실, 공연장",주차 가능,02-2176-0892,http://life.gangnam.go.kr/fmcs/103,37.4938496,127.06415
강남구,강남스포츠문화센터,공공체육시설,서울특별시 강남구 밤고개로1길 52,"지하 2층, 지상 4층",강남구도시관리공단,운영,생활체육관,06:00~21:50,"토요일 06:00~17:50, 일요일 09:30~16:00",운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 식당, 사랑방, 독서실, 수영장 전망대",주차 가능,02-2176-0801,https://life.gangnam.go.kr/fmcs/104,37.4889719,127.1053398
강서구,강서구민올림픽체육센터 골프연습장,공공체육시설,서울특별시 강서구 화곡로 65길 62,"지하 4층, 지상 3층 (연면적 11,357.3㎡)",강서구시설관리공단,운영,골프연습장,09:00~18:00,토요일 및 일요일 휴관,"강습 : 154,000원 월이용권 : 98,000원 스크린골프 : 5,500원",불가능,"샤워실, 탈의실, 휴게실, 자동판매기","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장",02-3661-1999,https://sport.gssi.or.kr/page/sisul/01/,37.5596885,126.8505702
강남구,강남스포츠문화센터,공공체육시설,서울특별시 강남구 밤고개로1길 52,성인풀 5레인,강남구도시관리공단,운영,수영장,06:00~21:50,"토요일 06:00~17:50, 일요일 09:30~16:00",은영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 식당, 사랑방, 독서실, 수영장 전망대",주차 가능 (22면),02-2176-0801,https://life.gangnam.go.kr/fmcs/104,37.4889719,127.1053398
강남구,강남주민편익시설,공공체육시설,서울특별시 강남구 남부순환로 3318,지상 3층,흥사단,운영,기타,09:00~21:00,주말 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 카페",프로그램 이용 회원에 한해 3시간 무료 주차,02-3412-2171,http://ykasports.com/,37.4919843,127.058717
강남구,강남주민편익시설,공공체육시설,서울특별시 강남구 남부순환로 3318,"성인풀 6레인, 어린이풀",흥사단,운영,수영장,09:00~21:00,주말 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 카페",프로그램 이용 회원에 한해 3시간 무료 주차,02-3412-2171,https://ykasports.com/,37.4919843,127.058717
강동구,강동 X-게임장,공공체육시설,서울특별시 강동구 동남로 660,"쿼터파이프 1개소, 뱅크램프 1개소, 런치박스 1개소, 레찌 1개소",강동구청 푸른도시과,운영,기타,00:00~24:00,00:00~24:00,무료,가능,"매점, 어린이 놀이터, 전망쉼터",최초 30분 1000원 초과 10분당 200원,02-3780-0501,https://www.gangdong.go.kr/site/contents/culture/2018/html01/index2_2.html,37.5418674,127.1528053
강동구,강동유소년스포츠센터,공공체육시설,서울특별시 강동구 상일로12길 60,"지하 1층, 지상 3층 (연면적 2,869.39㎡)",강동구시설관리공단,운영,생활체육관,09:00~22:00,토요일 09:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 카페, 옥상공원",주차장이 협소하므로 대중교통 이용 권장,02-3428-7979,http://www.igangdong.or.kr/page/ch/ch_0601.asp,37.5552978,127.1741901
강동구,강동청소년회관 수영장,공공체육시설,서울특별시 강동구 양재대로138길 41,성인풀(25m) 4레인,한국청소년연맹,운영,수영장,06:00-22:00,"일요일, 법정공휴일 휴관",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 의무실, 관람대",주차 가능,02-3426-6211,http://www.kdyouth.or.kr/,37.5497603,127.1462441
강북구,강북구민운동장,공공체육시설,서울특별시 강북구 오현로 187-25,축구장 : 100m x 64m (국제공식규격) / 본부석 막구조물 1동 (부대규모 39m x 11m) / 족구장 / 농구장 2개소 / 조깅트랙 등,강북구도시관리공단,운영,축구장,06:00~22:00,06:00~22:00 (연중무휴),"체육행사 : 55,000원 / 2시간 체육 외 행사 : 250,000원 / 3시간 족구장 : 4,000원 / 1시간 조명탑 : 22,000원 / 2시간",가능,"샤워실, 락커룸, 매점, 화장실","행사 차량 : 무료 (전일 10대, 행사시간 6대) 그 외 5분 당 250원 / 1시간 당 3,000원 / 전일 10,000원",02-987-6893,https://www.gbcmc.or.kr/fmcs/76,37.6295223,127.0375228
강북구,강북문화예술회관,공공체육시설,서울특별시 강북구 삼각산로 85,"지하 2층, 지상 3층",강북구도시관리공단,운영,생활체육관,06:00~22:00,토요일 06:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램별 이용 요금 상이,불가능,"샤워실, 탈의실, 매점, 인터넷카페, 독서실, 옥상공원",부설주차장 5분 당 150원 강좌 수강 시 수강 시간+1시간 무료 대중교통 이용 권장,02-944-3060,https://www.gbcmc.or.kr/fmcs/25,37.6407905,127.0134278
강북구,강북문화예술회관 수영장,공공체육시설,서울특별시 강북구 삼각산로 85,"성인풀 6레인 (25m), 청소년풀 4레인 (20m)",강북구도시관리공단,운영,수영장,06:00~22:00,토요일 06:00~18:00 / 일요일 및 공휴일 휴관,"성인수영 : 34,000~49,000원 어린이수영 : 21,000~32,000원 아쿠아로빅 : 32,000~50,000원 수중보건체조 : 50,000원 월이용권 : 28,000~35,000원 일일이용권 : 2,000~4,800원",불가능,"샤워실, 탈의실, 매점, 인터넷카페, 독서실, 옥상공원",부설주차장 5분 당 150원 강좌 수강 시 수강 시간+1시간 무료 대중교통 이용 권장,02-944-3060,https://www.gbcmc.or.kr/fmcs/25,37.6407905,127.0134278
강북구,강북웰빙스포츠센터,공공체육시설,서울특별시 강북구 오현로31길 51,지상 3층,강북구도시관리공단,운영,생활체육관,06:00~22:00,"토요일 06:00~18:00, 일요일 09:00~18:00",운영 프로그램별 이용 요금 상이,가능,"샤워실, 탈의실, 모유수유실",주차 가능 (69면) 강습 시간 전후 1시간 무료,02-944-2900,https://www.gbcmc.or.kr/fmcs/70,37.6305856,127.0378057
강북구,강북웰빙스포츠센터 수영장,공공체육시설,서울특별시 강북구 오현로31길 51,"성인풀 6레인, 유아풀 1레인 (연면적 832.5㎡)",강북구도시관리공단,운영,수영장,06:00~22:00,"토요일 06:00~18:00, 일요일 09:00~18:00",운영 프로그램 별 이용 요금 상이,가능,"샤워실, 탈의실, 모유수유실",주차 가능 (69면) 강습 시간 전후 1시간 무료,02-944-2900,https://www.gbcmc.or.kr/fmcs/70,37.6305856,127.0378057
강서구,강서개화축구장,공공체육시설,서울특별시 강서구 개화동로8길 38,인조잔디 축구장 1면,강서구청 문화체육과,운영,축구장,06:00~22:00,06:00~22:00,"(2시간 기준) 평일 : 60,500원 주말 및 공휴일 : 78,650원 * 야간조명 사용료 별도",가능,"샤워실, 탈의실, 조명탑",주차 가능,02-2600-6544,https://sports.gangseo.seoul.kr/fmcs/5,37.5806936,126.7956643
강서구,강서구민올림픽체육센터,공공체육시설,서울특별시 강서구 화곡로 65길 62,"지하 4층, 지상 3층 (연면적 11,357.3㎡)",강서구시설관리공단,운영,생활체육관,06:00~21:00,토요일 06:00~16:00 / 일요일 및 공휴일 휴관,"헬스 : 40,000~51,000원 골프 : 98,000~154,000원 배드민턴 : 40,000~151,000원 요가 : 32,000~48,000원  기구필라테스 : 60,000~120,000원",가능,"샤워실, 탈의실, 휴게실, 자동판매기","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장",02-3661-1999,https://sport.gssi.or.kr/page/sisul/01/,37.5596885,126.8505702
강서구,강서구민올림픽체육센터 수영장,공공체육시설,서울특별시 강서구 화곡로 65길 62,"성인풀 7레인(1.2~1.5m), 유아풀(0.6m)",강서구시설관리공단,운영,수영장,06:00~21:00,토요일 06:00~16:00 / 일요일 및 공휴일 휴관,"일반수영 : 성인 46,200원 / 청소년 26,400원 아쿠아로빅 : 46,200~63,000원 자유수영 : 41,700~180,000원 유아 및 어린이 소그룹 : 104,000원 초급자 특화 : 11,000~156,000원 월정기권 : 30,000~56,000원",불가능,"샤워실, 탈의실, 휴게실, 자동판매기","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장",02-3661-1999,https://sport.gssi.or.kr/page/sisul/01/,37.5596885,126.8505702
강서구,강서다목적체육관,공공체육시설,서울특별시 강서구 초록마을로5길 43,"배드민턴 코트 5면 / 지하 1층, 지상 1층 (연면적 872.55㎡)",강서구시설관리공단,운영,생활체육관,화요일~금요일 09:00~22:00,09:00~22:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실",-,02-3662-9082,https://sport.gssi.or.kr/page/sisul/04/,37.5443215,126.8484337
강서구,강서한강공원 인공암벽장,공공체육시설,서울특별시 강서구 양천로27길 279-23,-,한강시사업본부,운영,기타,10:00~22:00,10:00~22:00,-,가능,"화장실, 음수대, 그늘막, 매점","강서1주차장 이용 최초 30분 1,000원, 초과 10분당 200원",02-3780-0621,https://hangang.seoul.go.kr/archives/2413,37.5860308,126.8169995
강서구,강서한강공원 족구장,공공체육시설,서울특별시 강서구 개화동 173-8,족구장 코트 2면 (600㎡),한강시사업본부,운영,족구장,4~9월 / 06:00~20:00 10월~다음 해 3월 / 07:00~17:00,4~9월 / 06:00~20:00 10월~다음 해 3월 / 07:00~17:00,"4,000원 / 2시간  75,000원 / 월 정기",가능,"화장실, 음수대, 그늘막, 매점","강서1주차장 이용 최초 30분 1,000원, 초과 10분당 200원",02-3780-0621,https://hangang.seoul.go.kr/archives/46788,37.5880596,126.8144462
강동구,강일테니스장,공공체육시설,서울특별시 강동구 강일동 157-2,"테니스 하드코트 10면 (부지면적 18,060㎡)",강동구도시관리공단,운영,테니스장,06:00~22:00,06:00~22:00,운영 프로그램에 따라 이용 요금 상이,불가능,휴게실,주차 가능 (50면),02-2045-7872,https://www.igangdong.or.kr/page/ch/ch_1301.asp,37.5745665,127.1652255
강동구,강일테니스장 내 족구장,공공체육시설,서울특별시 강동구 아리수로93가길 34,족구장 1면,강동구도시관리공단,운영,족구장,"06:00~22:00 / 2, 4째주 수요일 휴관",06:00~22:00 / 추석 및 설 연휴 휴장,-,가능,"화장실, 휴게실",주차 가능 (50면),02-2045-7872,https://www.igangdong.or.kr/page/ch/ch_1301.asp,37.568731,127.1724854
성북구,개운산스포츠센터,공공체육시설,서울특별시 성북구 북악산로 949-60,"지하 1층, 지상 1층",성북구도시관리공단,운영,생활체육관,06:00~22:00,"토요일 06:00~17:50, 일요일 휴관 / 공휴일 10:00~17:50",운영 프로그램에 따라 이용 요금 상이,가능,"샤워장, 탈의실, 락커룸, 스포츠용품점",주차 가능 (80면),02-925-9960,https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400192,37.596864,127.0263303
성북구,개운산스포츠센터 수영장,공공체육시설,서울특별시 성북구 북악산로 949-60,"성인풀(25m) 5레인, 어린이풀(11m)",성북구도시관리공단,운영,수영장,평일 06:00~22:00,"토요일 06:00~17:50, 일요일 휴관 / 공휴일 10:00~17:50",운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 락커룸, 스포츠용품점",주차 가능 (80대),02-925-9960,https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400193,37.596864,127.0263303
구로구,개웅산생활체육관,공공체육시설,서울특별시 구로구 개봉로3길 108-20,지상 2층,구로구시설관리공단,운영,생활체육관,06:00~22:00,토요일 10:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램 별 이용 요금 상이,불가능,"샤워실, 탈의실",- 회원전용 주차장 - 프로그램 이용 회원의 경우 2시간 무료 - 주차 공간이 협소하므로 가급적 대중 교통 이용,02-3666-0287,https://www.gurosisul.or.kr/mod.asp?m=business&s=b02-1,37.4855554,126.8491027
구로구,개웅중학교,학교체육시설,서울특별시 구로구 개봉로11길 81,"체육장 2,819㎡",개웅중학교,운영,중학교,"06:30~07:30, 17:00~18:00 (일몰 시까지)",주말 및 공휴일 06:30~18:00 (일몰 시까지),"체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",가능,"샤워실, 탈의실, 창고",주차 불가,02-2613-3342,https://kaewoong.sen.ms.kr/,37.4872988,126.85115
양천구,건강힐링문화관,기타,서울특별시 양천구 남부순환로83길 54,"지하 2층, 지상 3층",양천구시설관리공단,운영,생활체육관,06:30~22:00,토요일 10:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 카페, 힐링치유방, 건강체험관",주차 가능 (29면),02-2691-9810,https://www.ycs.or.kr/fmcs/45,37.5176014,126.8457233
성북구,경동고등학교,학교체육시설,서울특별시 성북구 삼선동3가 보문로29길 49,"체육장 24,900㎡",경동고등학교,운영,고등학교,18:00~21:00,09:00~21:00,"체육관 : 15,000~60,000원 운동장 : 20,000~100,000원 ",가능,편의시설 없음,주차 불가,02-928-2353,https://kyungdong.sen.hs.kr/,37.5858924,127.0149075
강서구,경서중학교,학교체육시설,서울특별시 강서구 양천로59길 31,"체육장 9,468㎡",경서중학교,운영,중학교,06:00~20:00,"토요일 13:00~20:00, 일요일 06:00~20:00 ","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",불가능,-,주차 불가,02-2668-0304,https://gyeongseo.sen.ms.kr/,37.5611383,126.85854
성동구,경수중학교,학교체육시설,서울특별시 성동구 뚝섬로13길 14,"체육장 3,500㎡",경수중학교,운영,중학교,"06:00~07:30, 16:20~18:00","토요일 06:00~07:30, 14:00~18:00","체육관 : 15,000~60,000원 운동장 : 15,000~100,000원 ",가능,"샤워실, 탈의실, 창고",주차 불가,02-464-0675,https://gsu.sen.ms.kr/,37.5397009,127.0584129
구로구,계남근린공원 축구장,공공체육시설,서울특별시 구로구 고척동 산6-1,인조잔디 축구장 85m×52m,구로구청체육진흥과,운영,축구장,"하절기 08:00~18:00, 동절기 09:00~17:00","하절기 08:00~18:00, 동절기 09:00~17:00",무료,가능,편의시설 없음,주차 불가 대중교통 이용 도로 무단 주차시 견인 및 벌금 조치,02-860-3364,http://www.guro.go.kr/culture/sports/facilities.jsp,37.5087129,126.8555175
양천구,계남다목적체육관,공공체육시설,서울특별시 양천구 신정로 273-5,"배드민턴 코트 15면 / 배구 코트 4면 / 지하 1층, 지상 2층",양천구시설관리공단,운영,생활체육관,06:00~22:00,09:00~18:00 / 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 스포츠용품샵",주차 가능 (103면),02-2606-9301,https://www.ycs.or.kr/fmcs/29,37.5124442,126.8512444
구로구,계남테니스장,공공체육시설,서울특별시 구로구 고척2동 1-3번지,코트 4면 (실내 하드코트 3면 + 실외 인조잔디 1면),구로구시설관리공단,운영,테니스장,06:00~22:00,주말 및 공휴일 09:00~18:00,"실내 : 평일 20,000원 / 주말 및 공휴일 30,000원   실외 : 평일 10,000원 / 주말 및 공휴일 15,000원",가능,"탈의실, 휴게실",고척근린공원 공영주차장 이용 주차공간이 협소하므로 가급적 대중교통 이용,02-2611-9007,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210218095453517817,37.501741,126.8507277
강동구,고덕어울림수영장,공공체육시설,서울특별시 강동구 고덕로 399,"성인풀(25m) 4레인, 유아풀(15m) 2레인 / + 피트니스실, 댄스실, 기구필라테스실",강동구도시관리공단,운영,수영장,06:00~22:00,토요일 09:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 휴게실, 파우더룸, 관망대 ",지정된 구역 외 주차 금지 주차장이 협소하므로 대중교통 이용 권장,02-2045-7630,https://www.igangdong.or.kr/page/ch/ch_1201.asp,37.5577148,127.1700554
강동구,고덕유수지야구장,공공체육시설,서울특별시 강동구 아리수로87길 192,"간이야구장(마사토), 조명탑 4개소, 목재데크, 스코어전광판 (8,736㎡) ",강동구청 생활체육과,운영,야구장,07:00~23:00,07:00~23:00,"(2시간 기준) 평일 주간 : 60,500원 평일 야간, 주말 및 공휴일 : 78,650원 * 조명사용료 별도",가능,"화장실, 연습장",주차 가능,02-3425-5190,https://gdsports.or.kr/info/baseball.do,37.5673427,127.1649096
강동구,고덕중학교 스크린사격장,공공체육시설,서울특별시 강동구 동남로 82길 94,스크린 사격장 3개,고덕중학교,운영,중학교,09:00~15:00,주말 및 공휴일 미개방,무료,불가능,편의시설 없음,주차 불가,02-2045-6006,http://godeok.sen.ms.kr/index.do,37.5600325,127.161258
구로구,고척근린공원 농구장,공공체육시설,서울특별시 구로구 고척로45길 1,농구장 1면,구로구청 녹색도시과,운영,농구장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 음수대, 그늘막",구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용,02-2619-6640,https://www.guro.go.kr/www/contents.do?key=2996,37.5059325,126.8520068
구로구,고척근린공원 배드민턴장,공공체육시설,서울특별시 구로구 고척로45길 1,배드민턴장 2면,구로구청 녹색도시과,운영,배드민턴장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 음수대, 그늘막",구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용,02-2619-6640,https://www.guro.go.kr/www/contents.do?key=2996,37.5059325,126.8520068
구로구,고척근린공원 운동장,공공체육시설,서울특별시 구로구 고척동 산9-14번지,"8,472m²",구로구청 녹색도시과,운영,축구장,00:00~24:00,00:00~24:00,무료,불가능,"화장실, 음수대, 그늘막",구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용,02-2619-6640,http://www.gurocc.or.kr/guro/group_travel_info01.php,37.5040503,126.8527631
구로구,고척근린공원 테니스장,공공체육시설,서울특별시 구로구 고척동 산9-14번지,테니스장 1면,구로구청 녹색도시과,운영,테니스장,00:00~24:00,00:00~24:00,"일일 이용 : 5,000원 ",불가능,"화장실, 음수대, 그늘막",구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용,02-2619-6640,http://www.gurocc.or.kr/guro/group_travel_info01.php,37.5040503,126.8527631
구로구,고척스카이돔 돔구장,공공체육시설,서울특별시 구로구 경인로 430,"연면적 83,623㎡",서울시설공단,운영,기타,00:00~24:00,00:00~24:00,"(평일 주간 기준) 전용사용료 : 538,000원  ",가능,"매점, 스카이박스","주차 가능 (484면) 1시간 기준 : 평시 1,800원, 행사시 3,000원",02-2128-2331,https://www.sisul.or.kr/open_content/skydome/,37.498931,126.8670866
구로구,고척스카이돔 수영장,공공체육시설,서울특별시 구로구 경인로 430,"성인풀(25m) 6레인 / 총 면적 2,071㎡",서울시설공단,휴관,수영장,06:00~22:00,06:00~22:00,운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실 ",주차 가능 (484면),2066-5400,http://www.gocheok-sc.or.kr/,37.498931,126.8670866
구로구,고척스카이돔 주차장 내 농구장,공공체육시설,서울특별시 구로구 고척동 66-47,농구장 1면,서울시설공단,운영,농구장,00:00~24:00,00:00~24:00,무료,불가능,편의시설 없음,"고척스카이돔 주차장 이용 (492면) 1시간 당 1,800원",02-2128-2300,https://www.sisul.or.kr/open_content/skydome/guidance/basketball.jsp,37.4968391,126.867306
구로구,고척스카이돔 축구장,공공체육시설,서울특별시 구로구 경인로 430,"축구장 1면 (90m×50m) / 총 면적 4,500㎡",서울시설공단,운영,축구장,06:00~22:00,06:00~22:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실","주차 가능 (484면) 1시간 기준 / 평시 1,800원, 행사시 3,000원",02-2128-2352,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221223151840748607,37.498931,126.8670866
구로구,고척스카이돔 풋살구장,공공체육시설,서울특별시 구로구 경인로 430,인조잔디 풋살구장 2면 (각 17m×29m),서울시설공단,운영,풋살장,06:00~22:00,06:00~22:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실","주차 가능 (484면) 1시간 기준 : 평시 1,800원, 행사시 3,000원",02-2128-2352,https://www.sisul.or.kr/open_content/skydome/guidance/futsal.jsp,37.498931,126.8670866
구로구,고척체육센터,공공체육시설,서울특별시 구로구 경인로 430,"지하 2층, 지상 1층",서울시설공단,운영,생활체육관,화요일~금요일 09:00~18:00,"토요일 09:00~18:00 / 월요일, 일요일 및 공휴일 휴무",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 개인사물함","고척스카이돔 인근 주차장 이용 소형차 기준 5분당 150원, 1시간당 1,800원",02-2128-2310,https://www.gocheok-sc.or.kr/,37.498931,126.8670866
구로구,고척체육센터 수영장,공공체육시설,서울특별시 구로구 경인로 430,"성인풀(25m) 6레인, 유아풀",서울시설공단,운영,수영장,화요일~금요일 09:00~18:00,"토요일 09:00~18:00 / 월요일, 일요일 및 공휴일 휴무",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 개인사물함","고척스카이돔 인근 주차장 이용 소형차 기준 5분당 150원, 1시간당 1,800원",02-2128-2310,https://www.gocheok-sc.or.kr/,37.498931,126.8670866
노원구,골마을근린공원 농구장,공공체육시설,서울특별시 노원구 노원로 237,농구장 1면 (533㎡),노원구청 여가도시과,운영,농구장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 휴게시설",주차 불가,02-2116-3942,https://www.nowon.kr/www/info/info4/info4_01/info4_01_17.jsp,37.6386727,127.0740174
노원구,공릉동근린공원 다목적구장,공공체육시설,서울특별시 노원구 공릉동 63-1,"11,540㎡ ",노원구청 푸른도시과,운영,기타,00:00~24:00,00:00~24:00,무료,불가능,"화장실, 휴게시설",주차 불가,02-2116-3942,https://www.nowon.kr/www/info/info4/info4_01/info4_01_23.jsp,37.6207109,127.087226
노원구,공릉동다목적구장,공공체육시설,서울특별시 노원구 화랑로 51길 17,"20m×40m (1,063㎡) / 인조잔디 코트 / 축구골대",노원구서비스공단,운영,기타,09:00~21:00,10:00~21:00,"(1시간 기준) - 평일 : 22,000원 - 주말 및 공휴일 : 28,600원 ",가능,음수대,주차 불가,02-2289-6853,https://www.nowonsc.kr/fmcs/185,37.6236127,127.0885326
노원구,공릉중학교 내 사격장,공공체육시설,서울특별시 노원구 노원로1길 42,8평,공릉중학교,운영,중학교,06:00~22:00,06:00~22:00,-,불가능,편의시설 없음,주차 불가,02-971-5212,http://kongrung.ms.kr/,37.6219769,127.0839048
