지역,소분류명,서비스명,시설명,서비스대상,결제방법,예약상태,URL,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,Longitude,Latitude
양천구,다목적경기장,목동다목적경기장  평일(야간),목동운동장>다목적구장,제한없음,유료,안내중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231116151320872774,2023-11-17 0:00:00,2023-12-31 0:00:00,2023-11-23 11:00:00,2023-11-27 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1700115416093B0TEPVL9MHJW8AH0W6FESLREP,02-2640-3818,17:00,23:00,126.8808679,37.53070628
양천구,다목적경기장,"목동다목적경기장  주말,공휴일(주간)",목동운동장>다목적구장,제한없음,유료,안내중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231116151917647191,2023-11-17 0:00:00,2023-12-31 0:00:00,2023-11-23 11:00:00,2023-11-27 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1700115638414L6EG4R9DS00DW6OY60EZYFYIZ,02-2640-3818,9:00,17:00,126.8808679,37.53070628
양천구,다목적경기장,"목동다목적경기장  주말,공휴일(야간)",목동운동장>다목적구장,제한없음,유료,안내중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231116152242416322,2023-11-17 0:00:00,2023-12-31 0:00:00,2023-11-23 11:00:00,2023-11-27 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1700115842193GKG78DJJFIK646XM37AF2BDGN,02-2640-3818,17:00,23:00,126.8808679,37.53070628
송파구,풋살장,잠실제3풋살경기장-토/일/공휴일(주간사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S150713145938618139,2015-07-13 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_90274,02-2240-8782,9:00,19:00,127.0759403,37.51619977
송파구,풋살장,잠실제3풋살경기장-토/일/공휴일(야간사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S150713152202637422,2015-07-13 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_93914,02-2240-8782,17:00,23:00,127.0759403,37.51619977
송파구,풋살장,잠실제3풋살경기장-평일(주간사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S150713152847326974,2015-07-13 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1649377822759W36WEG2UZS60NPTJEEG3WXS2U,02-2240-8782,9:00,19:00,127.0759403,37.51619977
송파구,풋살장,잠실제3풋살경기장-평일(야간사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S150713160023141494,2015-07-13 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_93920,02-2240-8782,17:00,24:00:00,127.0759403,37.51619977
송파구,풋살장,잠실제3풋살경기장-평일(조기사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230518173426255375,2023-05-01 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16843990006440E9Y33AFNDCRZCVO5LSYIA0T7,02-2240-8782,7:00,9:00,127.0759403,37.51619977
송파구,풋살장,잠실제3풋살경기장-토/일/공휴일(조기사용),잠실종합운동장>풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230703104725783935,2023-07-04 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1688348899861N4WF4JMEKRH03QWQ6UOE03YGE,02-2240-8782,7:00,9:00,127.0759403,37.51619977
송파구,체육관,잠실실내보조체육관(농구장),잠실종합운동장>실내체육관,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210531105402137687,2021-06-01 0:00:00,2024-06-30 0:00:00,2023-11-15 13:30:00,2023-11-19 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1622533672436W5QPZHVHJ0YSU61267MR9K963,2240-8701~3,9:00,21:00,127.07662,37.51348
송파구,체육관,잠실실내보조체육관(배구장),잠실종합운동장>실내체육관,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210601165859510401,2021-06-01 0:00:00,2024-06-30 0:00:00,2023-11-15 13:30:00,2023-11-19 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1622534384647CX83F3HBFF8DHA73F1TQKZ4YZ,2240-8701~3,9:00,21:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-평일(주간사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S140714091649053869,2014-07-14 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_59606,02-2240-8782,9:00,19:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-평일(야간사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S140714093209070904,2020-01-01 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_63286,02-2240-8782,17:00,23:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-토/일/공휴일(주간사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S140714094447178534,2014-07-14 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_59829,02-2240-8782,9:00,19:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-토/일/공휴일(야간사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S140714095223436002,2014-07-14 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_63012,02-2240-8782,17:00,23:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-평일(조기사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230519095723298536,2023-05-19 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1684457996846N3N3C3E45YJEQNYX97IODVE3J,02-2240-8782,7:00,9:00,127.07662,37.51348
송파구,풋살장,잠실제2풋살경기장-토/일/공휴일(조기사용),잠실종합운동장>제2풋살경기장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230703103303418848,2023-07-01 0:00:00,2025-12-31 0:00:00,2023-11-15 13:30:00,2023-11-17 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1688348190088LHJBUW7KEI8J90TF441AIUE4E,02-2240-8782,7:00,9:00,127.07662,37.51348
광진구,야구장,구의야구장 2023.11월(추첨),구의야구공원,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102142851833621,2023-11-07 0:00:00,2023-11-30 0:00:00,2023-11-07 10:00:00,2023-11-13 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16989041223991T6BE2GIMAP37QISN8YL60V71,02-3436-2871,10:00,17:00,127.0968159,37.54721137
영등포구,풋살장,2023년 11월 영등포공원 풋살경기장(평일주간),영등포공원>풋살경기장," 성인, 어린이, 청소년",유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231020095038398953,2023-10-01 0:00:00,2023-11-30 0:00:00,2023-10-27 17:00:00,2023-11-28 5:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=169776311659594XK204DBNDWBYDHYXI0L8930,02-2670-3774,8:00,16:00,126.91228,37.51557
영등포구,풋살장,2023년 11월 영등포공원 풋살경기장(평일야간),영등포공원>풋살경기장," 성인, 어린이, 청소년",유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231020095654810172,2023-10-01 0:00:00,2023-11-30 0:00:00,2023-10-27 17:00:00,2023-11-28 5:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1697763461102UXXG3CJJRTXG670DHZU3V8CQN,02-2670-3774,18:00,20:00,126.91228,37.51557
영등포구,풋살장,"2023년 11월 영등포공원 풋살경기장 (토,일,공휴일 주간 )",영등포공원>풋살경기장," 성인, 어린이, 청소년",유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231020095924280834,2023-10-01 0:00:00,2023-11-30 0:00:00,2023-10-27 17:00:00,2023-11-28 5:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1697763603221SW4TCW32AFZFB0DWHPSX7BG0C,02-2670-3774,8:00,18:00,126.91228,37.51557
과천시,야구장,서울대공원 리틀야구장 2023.11월(추첨),서울대공원>야구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231015133900563706,2023-10-16 0:00:00,2023-11-30 0:00:00,2023-10-16 9:00:00,2023-10-18 4:10:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1697344926271VHJLEFN4L2YAP1I2IVM4WOUXR,02-500-7351,9:00,17:50,127.0140971,37.43642992
과천시,야구장,서울대공원 성인야구장 2023.11월(추첨),서울대공원>야구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231015134738889214,2023-10-16 0:00:00,2023-11-30 0:00:00,2023-10-16 9:00:00,2023-10-18 4:10:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16973453026187ZX9OOR1VVS8CQPLXOD6XBXXU,02-500-7351,9:00,20:50,127.0140971,37.43642992
과천시,야구장,서울대공원 성인야구장 2023.12월(추첨),서울대공원>야구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231112202407613563,2023-11-13 0:00:00,2023-12-31 0:00:00,2023-11-13 10:00:00,2023-11-15 4:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1699788691288BURKEIFNUEH1B7FMGH7WBMZ4M,02-500-7351,10:00,19:50,127.0140971,37.43642992
과천시,야구장,서울대공원 리틀야구장 2023.12월(추첨),서울대공원>야구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231112203845947391,2023-11-13 0:00:00,2023-12-31 0:00:00,2023-11-13 10:00:00,2023-11-15 4:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1699789247869UJTLXD07M5VTP9EYR73FX3DF9,02-500-7351,10:00,15:50,127.0140971,37.43642992
동작구,축구장,2023년 12월 보라매공원 인조잔디 축구장(평일야간),보라매공원>인조잔디축구장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S211201145144348074,2022-03-01 0:00:00,2023-12-31 0:00:00,2023-11-13 10:00:00,2023-12-29 7:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1638338025275O46H21TCGPNC2S1ONMTUNVCK0,"평일주간(02-2181-1180) / 평일야간,주말주야(02-2181-1114)",16:00,22:00,126.91605,37.49101
동작구,축구장,2023년 12월 보라매공원 인조잔디 축구장(토/일/공휴일 주간),보라매공원>인조잔디축구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S211206134352592650,2023-02-01 0:00:00,2023-12-31 0:00:00,2023-11-13 10:00:00,2023-11-15 11:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1638765941867QBILYOW4MLN9K8P3FTOLXYA2U,"평일주간(02-2181-1180) / 평일야간,주말주야(02-2181-1114)",6:00,18:00,126.91605,37.49101
동작구,축구장,2023년 12월분 보라매공원 인조잔디 축구장(토/일/공휴일 야간),보라매공원>인조잔디축구장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S211206135841754087,2022-12-01 0:00:00,2023-12-31 0:00:00,2023-11-13 10:00:00,2023-11-15 11:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1638766800510LXL8CGZE7JFSCJY4UNB65IYNF,"평일주간(02-2181-1180) / 평일야간,주말주야(02-2181-1114)",18:00,22:00,126.91605,37.49101
동작구,축구장,2023년  보라매공원 인조잔디 축구장(평일주간),보라매공원>인조잔디축구장,제한없음(평일주간),유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220204165648697531,2022-02-01 0:00:00,2023-12-31 0:00:00,2022-12-01 9:00:00,2023-12-29 3:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1643961475000IOR3NM51AIV5J7F6GIDJZCD4Y,"평일주간(02-2181-1180) / 평일야간,주말주야(02-2181-1114)",6:00,18:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 1번코트(평일주간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S200903171905941615,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_276094,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 2번코트(평일주간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030095955674906,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_288151,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 3번코트(평일주간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030100749834127,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_280281,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 4번코트(평일주간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030101119569374,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_281480,02-841-8808,6:00,18:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 5번코트(평일주간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030101340919783,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_282070,02-841-8808,6:00,18:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 1번코트(평일야간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030102944573871,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_282906,02-841-8808,18:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 2번코트(평일야간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030103317125671,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_281223,02-841-8808,18:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 3번코트(평일야간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030103931638215,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_280287,02-841-8808,18:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 1번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030105206531192,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_281164,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 2번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030105601087749,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_282457,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 3번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201030145802586611,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_284327,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 4번코트(평일야간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210302232236697326,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_283014,02-841-8808,18:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 5번코트(평일야간),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210302232601011038,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 12:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_287454,02-841-8808,18:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 4번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210302233348803598,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_284428,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 5번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210302233656019242,2022-09-01 0:00:00,2025-09-01 0:00:00,2022-09-22 0:00:00,2025-09-01 7:09:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_284434,02-841-8808,6:00,22:00,126.91605,37.49101
동작구,테니스장,보라매공원테니스장 6번코트(토.일.공휴일),보라매공원>테니스장,제한없음,유료,접수종료,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210319185351345647,2022-09-01 0:00:00,2025-09-01 0:00:00,2023-10-06 9:00:00,2023-10-06 11:10:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16161481777080KCZU8L3KZWDRHWVFHBH1E4EU,02-841-8808,6:00,22:00,126.91605,37.49101
